Time,Insert Time,Communication Status,Power Factor,Energy ( kilowatt hour ),Voltage Phase R B ( volt )
7-Jan-2021 10:56:28 PM,7-Jan-2021 10:55:33 PM,Normal,1,402052.19,401
7-Jan-2021 10:58:29 PM,7-Jan-2021 10:57:30 PM,Normal,1,402052.5,401
7-Jan-2021 11:00:30 PM,7-Jan-2021 10:59:33 PM,Normal,1,402052.81,401
7-Jan-2021 11:04:31 PM,7-Jan-2021 11:03:35 PM,Normal,1,402053.31,401
7-Jan-2021 11:08:32 PM,7-Jan-2021 11:07:37 PM,Normal,1,402054.19,401
7-Jan-2021 11:22:27 PM,7-Jan-2021 11:21:29 PM,Normal,1,402055,402
7-Jan-2021 11:24:28 PM,7-Jan-2021 11:23:30 PM,Normal,1,402055.81,401
7-Jan-2021 11:26:28 PM,7-Jan-2021 11:25:30 PM,Normal,1,402056.59,402
7-Jan-2021 11:32:31 PM,7-Jan-2021 11:31:36 PM,Normal,1,402057.5,402
7-Jan-2021 11:40:34 PM,7-Jan-2021 11:39:38 PM,Normal,1,402058.31,402
7-Jan-2021 11:42:34 PM,7-Jan-2021 11:41:37 PM,Normal,1,402059.09,402
7-Jan-2021 11:46:26 PM,7-Jan-2021 11:45:29 PM,Normal,1,402059.91,402
7-Jan-2021 11:50:28 PM,7-Jan-2021 11:49:35 PM,Normal,1,402060.81,403
7-Jan-2021 11:52:29 PM,7-Jan-2021 11:51:35 PM,Normal,1,402061.59,402
7-Jan-2021 11:54:30 PM,7-Jan-2021 11:53:35 PM,Normal,1,402062.41,403
7-Jan-2021 11:58:30 PM,7-Jan-2021 11:57:36 PM,Normal,1,402063.19,403
8-Jan-2021 12:00:31 AM,7-Jan-2021 11:59:36 PM,Normal,1,402064.09,403
8-Jan-2021 12:02:32 AM,8-Jan-2021 12:01:37 AM,Normal,1,402064.91,403
8-Jan-2021 12:04:32 AM,8-Jan-2021 12:03:37 AM,Normal,1,402065.69,403
8-Jan-2021 12:14:35 AM,8-Jan-2021 12:13:39 AM,Normal,1,402066.5,403
8-Jan-2021 12:18:36 AM,8-Jan-2021 12:17:38 AM,Normal,1,402067.31,402
8-Jan-2021 12:20:36 AM,8-Jan-2021 12:19:40 AM,Normal,1,402068.09,402
8-Jan-2021 12:22:28 AM,8-Jan-2021 12:21:36 AM,Normal,1,402068.91,403
8-Jan-2021 12:26:30 AM,8-Jan-2021 12:25:36 AM,Normal,1,402069.69,402
8-Jan-2021 12:30:32 AM,8-Jan-2021 12:29:37 AM,Normal,1,402070.5,402
8-Jan-2021 12:32:33 AM,8-Jan-2021 12:31:37 AM,Normal,1,402070.91,402
8-Jan-2021 12:36:35 AM,8-Jan-2021 12:35:36 AM,Normal,1,402071.19,403
8-Jan-2021 12:38:36 AM,8-Jan-2021 12:37:39 AM,Normal,1,402071.69,403
8-Jan-2021 12:40:36 AM,8-Jan-2021 12:39:40 AM,Normal,1,402072,402
8-Jan-2021 12:42:27 AM,8-Jan-2021 12:41:34 AM,Normal,1,402072.31,403
8-Jan-2021 12:44:27 AM,8-Jan-2021 12:43:29 AM,Normal,1,402072.59,403
8-Jan-2021 12:46:28 AM,8-Jan-2021 12:45:35 AM,Normal,1,402072.91,403
8-Jan-2021 12:52:28 AM,8-Jan-2021 12:51:31 AM,Normal,1,402073.19,403
8-Jan-2021 1:06:32 AM,8-Jan-2021 1:05:36 AM,Normal,1,402073.5,404
8-Jan-2021 1:08:33 AM,8-Jan-2021 1:07:34 AM,Normal,1,402073.91,403
8-Jan-2021 1:12:36 AM,8-Jan-2021 1:11:40 AM,Normal,1,402074.19,403
8-Jan-2021 1:14:36 AM,8-Jan-2021 1:13:37 AM,Normal,1,402074.5,403
8-Jan-2021 1:16:36 AM,8-Jan-2021 1:15:40 AM,Normal,1,402075.19,404
8-Jan-2021 1:18:37 AM,8-Jan-2021 1:17:40 AM,Normal,1,402076,403
8-Jan-2021 1:22:29 AM,8-Jan-2021 1:21:30 AM,Normal,1,402076.81,404
8-Jan-2021 1:26:30 AM,8-Jan-2021 1:25:31 AM,Normal,1,402077.59,404
8-Jan-2021 1:34:32 AM,8-Jan-2021 1:33:35 AM,Normal,1,402078.5,404
8-Jan-2021 1:49:32 AM,8-Jan-2021 1:48:40 AM,Normal,1,402079.31,404
8-Jan-2021 1:54:35 AM,8-Jan-2021 1:53:41 AM,Normal,1,402080.09,404
8-Jan-2021 1:56:36 AM,8-Jan-2021 1:55:39 AM,Normal,1,402081,404
8-Jan-2021 2:00:36 AM,8-Jan-2021 1:59:42 AM,Normal,1,402081.81,404
8-Jan-2021 2:02:37 AM,8-Jan-2021 2:01:42 AM,Normal,1,402082.59,404
8-Jan-2021 2:04:37 AM,8-Jan-2021 2:03:41 AM,Normal,1,402083.41,404
8-Jan-2021 2:06:28 AM,8-Jan-2021 2:05:33 AM,Normal,1,402084.31,404
8-Jan-2021 2:08:29 AM,8-Jan-2021 2:07:38 AM,Normal,1,402085.09,404
8-Jan-2021 2:10:30 AM,8-Jan-2021 2:09:33 AM,Normal,1,402085.91,404
8-Jan-2021 2:12:31 AM,8-Jan-2021 2:11:39 AM,Normal,1,402086.81,405
8-Jan-2021 2:16:32 AM,8-Jan-2021 2:15:39 AM,Normal,1,402087.59,405
8-Jan-2021 2:22:36 AM,8-Jan-2021 2:21:40 AM,Normal,1,402088.41,404
8-Jan-2021 2:24:37 AM,8-Jan-2021 2:23:42 AM,Normal,1,402089.31,405
8-Jan-2021 2:36:32 AM,8-Jan-2021 2:35:38 AM,Normal,1,402090.09,404
8-Jan-2021 2:38:33 AM,8-Jan-2021 2:37:38 AM,Normal,1,402090.91,405
8-Jan-2021 2:44:35 AM,8-Jan-2021 2:43:39 AM,Normal,1,402091.5,405
8-Jan-2021 2:46:35 AM,8-Jan-2021 2:45:40 AM,Normal,1,402092,405
8-Jan-2021 2:48:36 AM,8-Jan-2021 2:47:40 AM,Normal,1,402092.31,405
8-Jan-2021 3:00:30 AM,8-Jan-2021 2:59:36 AM,Normal,1,402092.59,404
8-Jan-2021 3:02:31 AM,8-Jan-2021 3:01:37 AM,Normal,1,402092.91,404
8-Jan-2021 3:04:31 AM,8-Jan-2021 3:03:37 AM,Normal,1,402093.19,405
8-Jan-2021 3:06:32 AM,8-Jan-2021 3:05:37 AM,Normal,1,402093.5,404
8-Jan-2021 3:08:32 AM,8-Jan-2021 3:07:38 AM,Normal,1,402093.69,404
8-Jan-2021 3:10:32 AM,8-Jan-2021 3:09:38 AM,Normal,1,402094,404
8-Jan-2021 3:12:33 AM,8-Jan-2021 3:11:39 AM,Normal,1,402094.31,404
8-Jan-2021 3:14:35 AM,8-Jan-2021 3:13:39 AM,Normal,1,402094.59,404
8-Jan-2021 3:22:39 AM,8-Jan-2021 3:21:42 AM,Normal,1,402094.91,404
8-Jan-2021 3:24:30 AM,8-Jan-2021 3:23:36 AM,Normal,1,402095.19,404
8-Jan-2021 3:30:34 AM,8-Jan-2021 3:29:37 AM,Normal,1,402095.5,403
8-Jan-2021 3:32:35 AM,8-Jan-2021 3:31:37 AM,Normal,1,402095.81,404
8-Jan-2021 3:34:35 AM,8-Jan-2021 3:33:37 AM,Normal,1,402096.09,404
8-Jan-2021 3:38:36 AM,8-Jan-2021 3:37:43 AM,Normal,1,402096.41,404
8-Jan-2021 3:40:37 AM,8-Jan-2021 3:39:39 AM,Normal,1,402096.69,404
8-Jan-2021 3:44:38 AM,8-Jan-2021 3:43:40 AM,Normal,1,402097,404
8-Jan-2021 3:48:39 AM,8-Jan-2021 3:47:41 AM,Normal,1,402097.19,404
8-Jan-2021 3:50:29 AM,8-Jan-2021 3:49:35 AM,Normal,1,402097.5,404
8-Jan-2021 3:52:30 AM,8-Jan-2021 3:51:35 AM,Normal,1,402097.81,404
8-Jan-2021 3:54:31 AM,8-Jan-2021 3:53:36 AM,Normal,1,402098.09,404
8-Jan-2021 3:56:33 AM,8-Jan-2021 3:55:36 AM,Normal,1,402098.41,404
8-Jan-2021 3:58:33 AM,8-Jan-2021 3:57:42 AM,Normal,1,402098.69,405
